都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,バリアフリー情報,URL,備考
222038,1210200000,静岡県,沼津市,第二小学校,ダイニショウガッコウ,,,沼津市常盤町2－32,,35.089522,138.85457,,,8.00002E+12,沼津市,,,,,,,,
222038,1210300000,静岡県,沼津市,第三小学校,ダイサンショウガッコウ,,,沼津市下香貫字下障子3157－2,,35.080444,138.868896,,,8.00002E+12,沼津市,,,,,,,,
222038,1210400000,静岡県,沼津市,第四小学校,ダイヨンショウガッコウ,,,沼津市御幸町4－1,,35.097668,138.863754,,,8.00002E+12,沼津市,,,,,,,,
222038,1210500000,静岡県,沼津市,第五小学校,ダイゴショウガッコウ,,,沼津市米山町9－1,,35.107358,138.863153,,,8.00002E+12,沼津市,,,,,,,,
222038,1210600000,静岡県,沼津市,開北小学校,カイホクショウガッコウ,,,沼津市高沢町17－1,,35.107253,138.854957,,,8.00002E+12,沼津市,,,,,,,,
222038,1210700000,静岡県,沼津市,千本小学校,センボンショウガッコウ,,,沼津市本字千本1910－19,,35.09679,138.847361,,,8.00002E+12,沼津市,,,,,,,,
222038,1210800000,静岡県,沼津市,片浜小学校,カタハマショウガッコウ,,,沼津市大諏訪41,,35.110834,138.828692,,,8.00002E+12,沼津市,,,,,,,,
222038,1210900000,静岡県,沼津市,金岡小学校,カナオカショウガッコウ,,,沼津市江原町3－1,,35.118943,138.860364,,,8.00002E+12,沼津市,,,,,,,,
222038,1211000000,静岡県,沼津市,大岡小学校,オオオカショウガッコウ,,,沼津市大岡2358,,35.112835,138.87959,,,8.00002E+12,沼津市,,,,,,,,
222038,1211100000,静岡県,沼津市,愛鷹小学校,アシタカショウガッコウ,,,沼津市西椎路673－1,,35.132446,138.830414,,,8.00002E+12,沼津市,,,,,,,,
222038,1211200000,静岡県,沼津市,大平小学校,オオヒラショウガッコウ,,,沼津市大平2200,,35.07703,138.910568,,,8.00002E+12,沼津市,,,,,,,,
222038,1211300000,静岡県,沼津市,内浦小学校,ウチウラショウガッコウ,,,沼津市内浦三津410-1,,35.028088,138.902435,,,8.00002E+12,沼津市,,,,,,,,
222038,1211400000,静岡県,沼津市,原小学校,ハラショウガッコウ,,,沼津市原1200,,35.128502,138.793274,,,8.00002E+12,沼津市,,,,,,,,
222038,1211500000,静岡県,沼津市,浮島小学校,ウキシマショウガッコウ,,,沼津市平沼811,,35.147877,138.784592,,,8.00002E+12,沼津市,,,,,,,,
222038,1211600000,静岡県,沼津市,香貫小学校,カヌキショウガッコウ,,,沼津市下香貫猪沼986,,35.076221,138.884094,,,8.00002E+12,沼津市,,,,,,,,
222038,1211700000,静岡県,沼津市,西浦小学校,ニシウラショウガッコウ,,,沼津市西浦平沢255-2,,35.019066,138.856613,,,8.00002E+12,沼津市,,,,,,,,
222038,1211800000,静岡県,沼津市,門池小学校,カドイケショウガッコウ,,,沼津市岡一色88-2,,35.12529,138.881058,,,8.00002E+12,沼津市,,,,,,,,
222038,1211900000,静岡県,沼津市,今沢小学校,イマザワショウガッコウ,,,沼津市東原字榎田通76-1,,35.125179,138.818253,,,8.00002E+12,沼津市,,,,,,,,
222038,1212000000,静岡県,沼津市,沢田小学校,サワダショウガッコウ,,,沼津市中沢田字円丸715,,35.130246,138.851652,,,8.00002E+12,沼津市,,,,,,,,
222038,1212100000,静岡県,沼津市,原東小学校,ハラヒガシショウガッコウ,,,沼津市大塚814-1,,35.127087,138.809724,,,8.00002E+12,沼津市,,,,,,,,
222038,1212200000,静岡県,沼津市,大岡南小学校,オオオカミナミショウガッコウ,,,沼津市大岡字原田1312,,35.102867,138.875381,,,8.00002E+12,沼津市,,,,,,,,
222038,1212300000,静岡県,沼津市,戸田小学校,ヘダショウガッコウガッコウ,,,沼津市戸田883,,34.964218,138.800659,,,8.00002E+12,沼津市,,,,,,,,
222038,1220100000,静岡県,沼津市,第一中学校,ダイイチチュウガッコウ,,,沼津市丸子町692-1,,35.100742,138.849411,,,8.00002E+12,沼津市,,,,,,,,
222038,1220200000,静岡県,沼津市,第二中学校,ダイニチュウガッコウ,,,沼津市本字千本1910-19,,35.09679,138.847361,,,8.00002E+12,沼津市,,,,,,,,
222038,1220300000,静岡県,沼津市,第三中学校,ダイサンチュウガッコウ,,,沼津市下香貫木ノ宮888,,35.078705,138.878045,,,8.00002E+12,沼津市,,,,,,,,
222038,1220400000,静岡県,沼津市,第四中学校,ダイヨンチュウガッコウ,,,沼津市本郷町24-1,,35.09205,138.871179,,,8.00002E+12,沼津市,,,,,,,,
222038,1220500000,静岡県,沼津市,第五中学校,ダイゴチュウガッコウ,,,沼津市五月町15-1,,35.112938,138.863586,,,8.00002E+12,沼津市,,,,,,,,
222038,1220600000,静岡県,沼津市,片浜中学校,カタハマチュウガッコウ,,,沼津市小諏訪180,,35.106586,138.840022,,,8.00002E+12,沼津市,,,,,,,,
222038,1220700000,静岡県,沼津市,金岡中学校,カナオカチュウガッコウ,,,沼津市神田町4-1,,35.115714,138.8656,,,8.00002E+12,沼津市,,,,,,,,
222038,1220800000,静岡県,沼津市,大岡中学校,オオオカチュウガッコウ,,,沼津市大岡2110,,35.115047,138.876114,,,8.00002E+12,沼津市,,,,,,,,
222038,1220900000,静岡県,沼津市,愛鷹中学校,アシタカチュウガッコウ,,,沼津市西椎路733,,35.134186,138.82959,,,8.00002E+12,沼津市,,,,,,,,
