都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,種別,住所,方書,緯度,経度,口径,備考
222038,,静岡県,沼津市,消火栓,沼津市東原,,35.7.31.96,138.49.31.42,100,
222038,,静岡県,沼津市,消火栓,沼津市東原,,35.7.44.72,138.49.32.202,150,
222038,,静岡県,沼津市,消火栓,沼津市東原,,35.7.37.98,138.49.27.73,150,
222038,,静岡県,沼津市,消火栓,沼津市東原,,35.7.40.6,138.49.28.73,350,
222038,,静岡県,沼津市,消火栓,沼津市東原,,35.7.35.38,138.49.26.18,150,
222038,,静岡県,沼津市,消火栓,沼津市東原,,35.7.41.13,138.49.25.53,350,
222038,,静岡県,沼津市,消火栓,沼津市東原,,35.7.35.63,138.49.18.56,150,
222038,,静岡県,沼津市,消火栓,沼津市東原,,35.7.47.8,138.49.29.83,100,
222038,,静岡県,沼津市,消火栓,沼津市東原,,35.7.47.2,138.49.26.11,100,
222038,,静岡県,沼津市,消火栓,沼津市東原,,35.7.50.18,138.49.26.04,100,
222038,,静岡県,沼津市,消火栓,沼津市鳥谷,,35.7.46.3,138.49.22.51,350,
222038,,静岡県,沼津市,消火栓,沼津市大岡（南小林）,,35.7.25.32,138.53.19.17,100,
222038,,静岡県,沼津市,消火栓,沼津市岡一色,,35.7.24.74,138.53.8.94,100,
222038,,静岡県,沼津市,消火栓,沼津市岡一色,,35.7.27.37,138.53.5.56,100,
222038,,静岡県,沼津市,消火栓,沼津市岡一色,,35.7.24.07,138.53.5.53,100,
222038,,静岡県,沼津市,防火水槽,沼津市米山町,,35.6.19.15,138.52.1.51,,
222038,,静岡県,沼津市,防火水槽,沼津市日の出町,,35.6.23.575,138.52.10.288,,
222038,,静岡県,沼津市,防火水槽,沼津市富士見町,,35.6.13.48,138.52.22.0,,
222038,,静岡県,沼津市,防火水槽,沼津市富士見町,,35.6.4.95,138.52.15.48,,
222038,,静岡県,沼津市,防火水槽,沼津市富士見町,,35.6.2.87,138.52.11.57,,
222038,,静岡県,沼津市,防火水槽,沼津市杉崎町,,35.6.10.51,138.52.5.99,,
222038,,静岡県,沼津市,防火水槽,沼津市杉崎町,,35.6.10.18,138.52.6.1,,
222038,,静岡県,沼津市,防火水槽,沼津市筒井町,,35.7.1.78,138.51.58.92,,
222038,,静岡県,沼津市,防火水槽,沼津市江原町,,35.6.55.98,138.51.56.28,,
222038,,静岡県,沼津市,防火水槽,沼津市江原町,,35.6.55.07,138.51.43.76,,
222038,,静岡県,沼津市,防火水槽,沼津市沢田,,35.6.58.53,138.51.41.69,,
222038,,静岡県,沼津市,消火栓,沼津市岡宮,,35.7.58.69,138.52.13.67,75,
222038,,静岡県,沼津市,消火栓,沼津市岡宮,,35.7.49.17,138.52.8.14,100,
222038,,静岡県,沼津市,消火栓,沼津市岡宮,,35.7.46.39,138.52.25.97,100,
222038,,静岡県,沼津市,消火栓,沼津市岡宮９９４番１５号,,35.7.39.88,138.52.19.94,100,
222038,,静岡県,沼津市,消火栓,沼津市岡宮,,35.7.36.27,138.52.23.77,150,
222038,,静岡県,沼津市,消火栓,沼津市岡宮,,35.7.32.03,138.52.18.13,150,
222038,,静岡県,沼津市,消火栓,沼津市岡宮,,35.7.31.71,138.52.5.96,100,
222038,,静岡県,沼津市,消火栓,沼津市岡宮,,35.7.43.73,138.52.15.89,150,
222038,,静岡県,沼津市,消火栓,沼津市岡宮,,35.7.36.91,138.52.17.33,150,
222038,,静岡県,沼津市,消火栓,沼津市岡宮,,35.7.36.81,138.52.5.67,100,
222038,,静岡県,沼津市,消火栓,沼津市岡宮,,35.7.42.55,138.52.6.09,100,
222038,,静岡県,沼津市,消火栓,沼津市岡宮,,35.7.43.25,138.52.11.9,150,
222038,,静岡県,沼津市,消火栓,沼津市岡宮,,35.7.33.58,138.52.21.42,150,
222038,,静岡県,沼津市,消火栓,沼津市岡宮,,35.7.43.41,138.52.1.32,100,
222038,,静岡県,沼津市,防火水槽,沼津市米山町,,35.6.14.56,138.51.58.59,,
222038,,静岡県,沼津市,防火水槽,沼津市庄栄町,,35.6.18.08,138.51.53.36,,
222038,,静岡県,沼津市,防火水槽,沼津市新宿町,,35.6.14.77,138.51.51.16,,
222038,,静岡県,沼津市,防火水槽,沼津市新宿町,,35.6.16.96,138.51.48.65,,
222038,,静岡県,沼津市,防火水槽,沼津市高島本町,,35.6.26.44,138.51.47.34,,
222038,,静岡県,沼津市,防火水槽,沼津市新宿町,,35.6.18.3,138.51.45.97,,
222038,,静岡県,沼津市,防火水槽,沼津市高島本町,,35.6.21.82,138.51.38.99,,
222038,,静岡県,沼津市,防火水槽,沼津市高島町,,35.6.16.08,138.51.37.03,,
222038,,静岡県,沼津市,防火水槽,沼津市高島町,,35.6.19.45,138.51.38.68,,
222038,,静岡県,沼津市,防火水槽,沼津市高島町,,35.6.19.35,138.51.42.14,,
222038,,静岡県,沼津市,防火水槽,沼津市大手町一丁目,,35.6.4.98,138.51.56.81,,
222038,,静岡県,沼津市,防火水槽,沼津市高島町,,35.6.4.47,138.51.46.97,,
222038,,静岡県,沼津市,防火水槽,沼津市高島町,,35.6.7.62,138.51.45.17,,
222038,,静岡県,沼津市,防火水槽,沼津市高島町,,35.6.7.34,138.51.40.66,,
222038,,静岡県,沼津市,防火水槽,沼津市高島町,,35.6.5.04,138.51.38.52,,
222038,,静岡県,沼津市,防火水槽,沼津市高島町,,35.6.0.92,138.51.38.03,,
222038,,静岡県,沼津市,防火水槽,沼津市新沢田町,,35.6.57.24,138.51.24.41,,
222038,,静岡県,沼津市,防火水槽,沼津市新沢田町,,35.6.55.22,138.51.17.73,,
222038,,静岡県,沼津市,消火栓,沼津市中沢田,,35.7.14.31,138.51.24.76,100,
222038,,静岡県,沼津市,消火栓,沼津市中沢田,,35.7.14.23,138.51.20.89,150,
222038,,静岡県,沼津市,消火栓,沼津市中沢田,,35.7.10.01,138.51.20.2,150,
222038,,静岡県,沼津市,消火栓,沼津市中沢田,,35.7.15.27,138.51.18.69,100,
222038,,静岡県,沼津市,消火栓,沼津市中沢田,,35.7.9.95,138.51.17.24,100,
222038,,静岡県,沼津市,消火栓,沼津市中沢田,,35.7.18.53,138.51.15.03,100,
222038,,静岡県,沼津市,消火栓,沼津市中沢田,,35.7.12.59,138.51.13.74,75,
222038,,静岡県,沼津市,消火栓,沼津市原（一本松）,,35.7.55.335,138.46.42.156,250,
222038,,静岡県,沼津市,消火栓,沼津市原（一本松）,,35.7.59.71,138.46.43.19,250,
222038,,静岡県,沼津市,消火栓,沼津市原（一本松）,,35.8.1.95,138.46.43.67,250,
222038,,静岡県,沼津市,消火栓,沼津市原（一本松）,,35.8.5.32,138.46.44.47,250,
222038,,静岡県,沼津市,消火栓,沼津市戸田（新田）,,34.57.46.14,138.48.48.54,100,
222038,,静岡県,沼津市,消火栓,沼津市戸田（新田）,,34.57.47.45,138.48.52.94,75,
222038,,静岡県,沼津市,防火水槽,沼津市双葉町,,35.6.6.23,138.51.22.61,,
222038,,静岡県,沼津市,防火水槽,沼津市双葉町,,35.6.11.35,138.51.19.01,,
222038,,静岡県,沼津市,消火栓,沼津市中沢田,,35.7.4.26,138.51.23.02,200,
222038,,静岡県,沼津市,消火栓,沼津市中沢田,,35.7.3.46,138.51.19.15,200,
222038,,静岡県,沼津市,消火栓,沼津市中沢田,,35.7.4.73,138.51.16.31,200,
222038,,静岡県,沼津市,消火栓,沼津市中沢田,,35.7.1.39,138.51.15.23,100,
222038,,静岡県,沼津市,消火栓,沼津市中沢田,,35.7.7.24,138.51.14.15,75,
222038,,静岡県,沼津市,消火栓,沼津市中沢田,,35.7.6.25,138.51.30.02,100,
222038,,静岡県,沼津市,消火栓,沼津市中沢田,,35.7.7.36,138.51.28.33,200,
222038,,静岡県,沼津市,消火栓,沼津市中沢田,,35.7.7.39,138.51.27.74,200,
222038,,静岡県,沼津市,消火栓,沼津市中沢田,,35.7.3.3,138.51.28.43,200,
222038,,静岡県,沼津市,消火栓,沼津市中沢田,,35.7.7.15,138.51.21.14,150,
222038,,静岡県,沼津市,消火栓,沼津市今沢,,35.7.11.59,138.49.1.64,100,
222038,,静岡県,沼津市,消火栓,沼津市今沢,,35.7.8.06,138.49.0.12,150,
222038,,静岡県,沼津市,消火栓,沼津市今沢,,35.7.5.17,138.48.59.4,150,
222038,,静岡県,沼津市,消火栓,沼津市大塚,,35.7.1.42,138.48.53.5,100,
222038,,静岡県,沼津市,消火栓,沼津市大塚,,35.6.59.3,138.48.53.58,100,
222038,,静岡県,沼津市,消火栓,沼津市大塚,,35.7.12.87,138.48.58.92,250,
222038,,静岡県,沼津市,消火栓,沼津市大塚,,35.7.12.25,138.48.57.49,75,
222038,,静岡県,沼津市,消火栓,沼津市大塚,,35.7.11.09,138.48.56.86,150,
222038,,静岡県,沼津市,消火栓,沼津市大塚,,35.7.4.02,138.48.52.92,200,
222038,,静岡県,沼津市,消火栓,沼津市大塚,,35.7.6.25,138.48.46.61,200,
222038,,静岡県,沼津市,消火栓,沼津市大塚,,35.7.3.75,138.48.44.86,100,
222038,,静岡県,沼津市,消火栓,沼津市大塚,,35.7.8.24,138.48.41.91,200,
222038,,静岡県,沼津市,消火栓,沼津市大塚,,35.7.9.67,138.48.38.36,200,
222038,,静岡県,沼津市,消火栓,沼津市大塚,,35.7.5.36,138.48.49.09,200,
222038,,静岡県,沼津市,消火栓,沼津市大塚,,35.7.9.85,138.48.47.17,200,
222038,,静岡県,沼津市,消火栓,沼津市大塚,,35.7.12.69,138.48.52.08,200,
222038,,静岡県,沼津市,消火栓,沼津市大塚,,35.7.13.71,138.48.48.06,200,
222038,,静岡県,沼津市,消火栓,沼津市戸田（中上）,,34.58.1.79,138.48.6.44,75,
222038,,静岡県,沼津市,消火栓,沼津市戸田（中上）,,34.57.59.91,138.48.6.93,75,
222038,,静岡県,沼津市,消火栓,沼津市大塚,,35.7.0.78,138.48.51.13,150,
222038,,静岡県,沼津市,消火栓,沼津市大塚,,35.7.10.04,138.48.52.68,200,
222038,,静岡県,沼津市,消火栓,沼津市大塚７７７番６１号,,35.7.12.37,138.48.44.36,100,
222038,,静岡県,沼津市,消火栓,沼津市大塚,,35.6.56.97,138.48.55.97,75,
222038,,静岡県,沼津市,消火栓,沼津市大塚,,35.6.50.62,138.48.52.79,75,
222038,,静岡県,沼津市,消火栓,沼津市大塚,,35.6.54.32,138.48.51.62,75,
222038,,静岡県,沼津市,消火栓,沼津市大塚,,35.6.58.67,138.48.51.4,100,
222038,,静岡県,沼津市,消火栓,沼津市大塚,,35.6.54.39,138.48.48.97,75,
222038,,静岡県,沼津市,消火栓,沼津市大塚,,35.6.57.03,138.48.47.08,100,
222038,,静岡県,沼津市,消火栓,沼津市大塚,,35.7.0.6,138.48.47.45,100,
222038,,静岡県,沼津市,消火栓,沼津市大塚,,35.7.5.25,138.48.40.99,100,
222038,,静岡県,沼津市,消火栓,沼津市大塚,,35.7.2.14,138.48.39.68,75,
222038,,静岡県,沼津市,消火栓,沼津市大塚,,35.7.1.68,138.48.43.15,75,
222038,,静岡県,沼津市,消火栓,沼津市大塚,,35.6.57.97,138.48.33.9,150,
222038,,静岡県,沼津市,消火栓,沼津市大塚,,35.6.55.06,138.48.41.19,150,
222038,,静岡県,沼津市,消火栓,沼津市大塚,,35.6.59.92,138.48.45.04,150,
222038,,静岡県,沼津市,消火栓,沼津市原（六軒町）,,35.7.30.92,138.47.24.45,200,
222038,,静岡県,沼津市,消火栓,沼津市西添町,,35.7.33.72,138.47.22.72,150,
222038,,静岡県,沼津市,消火栓,沼津市西添町,,35.7.38.47,138.47.22.98,100,
222038,,静岡県,沼津市,消火栓,沼津市原（六軒町）,,35.7.29.58,138.47.28.56,150,
222038,,静岡県,沼津市,消火栓,沼津市原（六軒町）,,35.7.31.51,138.47.20.98,150,
222038,,静岡県,沼津市,消火栓,沼津市西添町,,35.7.33.8,138.47.27.74,150,
222038,,静岡県,沼津市,消火栓,沼津市原（六軒町）,,35.7.26.17,138.47.42.05,100,
222038,,静岡県,沼津市,消火栓,沼津市原（六軒町）,,35.7.26.15,138.47.39.29,100,
222038,,静岡県,沼津市,消火栓,沼津市原（六軒町）,,35.7.24.98,138.47.37.86,150,
222038,,静岡県,沼津市,消火栓,沼津市原（六軒町）,,35.7.17.46,138.47.34.4,100,
222038,,静岡県,沼津市,消火栓,沼津市原（六軒町）,,35.7.22.88,138.47.36.28,75,
