沼津市津波避難ビル一覧,,,,
名称,所在地,北緯,東経,
沼津市民文化センター,沼津市御幸町15-1,35.095478,138.865981,
沼津市立第四小学校,沼津市御幸町4-1,35.097036,138.865439,
司法書士　奥田事務所,沼津市御幸町17-8,35.095825,138.862998,
めぞん　わたなべ,沼津市御幸町19-21,35.093531,138.863851,
コーポYT,沼津市市場町6-11,35.095403,138.862357,
グランセードル,沼津市市場町10-8,35.094861,138.861708,
ストリートピア,沼津市市場町19-10,35.094135,138.860957,
沼津合同庁舎,沼津市市場町9-1,35.094400,138.861413,
沼津合同庁舎立体駐車場,沼津市市場町9-1,35.094488,138.861855,
ナガクラパーキング,沼津市市場町13,35.095546,138.859975,
第四地区センター,沼津市吉田町20-1,35.091223,138.862368,
カンサレーション,沼津市吉田町29-28,35.093806,138.862115,
マルツ5パールマンション,沼津市吉田町31-11,35.093687,138.863191,
コーポ二本松,沼津市吉田町37-33,35.089818,138.864784,
メゾンドール,沼津市吉田町16-25,35.089609,138.863296,
恵愛保育園,沼津市吉田町4-19,35.092917,138.859696,
サンコーポ第２吉田,沼津市吉田町14-3,35.089355,138.861300,
神部ハイツⅡ,沼津市吉田町14-12,35.089449,138.861676,
神部ハイツ,沼津市吉田町14-15,35.089278,138.861819,
サンライズ御幸,沼津市御幸町24-19,35.092552,138.864972,
グレイス三園,沼津市三園町6-3,35.090571,138.865050,
グランドエクセル三園,沼津市三園町5-43,35.090498,138.865771,
アルテ・グランデ三園,沼津市三園町4-36,35.090184,138.866611,
（有）丸一水産,沼津市三園町9-12,35.087972,138.865643,
ウィスティリア三園,沼津市三園町13-41,35.088580,138.867335,
オリエンタルマンション,沼津市三園町13-31,35.088145,138.867649,
（株）きんでん中部支社沼津営業所,沼津市玉江町7-33,35.087283,138.867780,
リバーマンション,沼津市三園町5-7,35.090716,138.865838,
真野ビル,沼津市三園町11-4,35.089102,138.865861,
プレイステーションタムラ香貫店,沼津市槙島町1278-1,35.086017,138.865648,
エル・ドラド　カヌキ,沼津市槇島町1352-1,35.086122,138.866581,
ビラ・スカーラ,沼津市三園町1389,35.086785,138.867338,
ピュアコート,沼津市三園町13-27,35.088244,138.867989,
レアールヒルズ香貫,沼津市玉江町5-47,35.087538,138.868899,
