"公園番号","公園名","住所","管内","No","開設","改修","種別","面積","構造","兼用個室","兼用和式","兼用手洗い","男子小便器","男子個室","男子洋式","男子和式","男子手洗い","女子個室","女子洋式","女子和式","女子手洗い","誰でも個室","誰でも手洗い","オストメイト","ベビーチェア","ベビーベッド","男子小便器(1)","幼児用小便器","経度","緯度","分類"
"81","堀ノ内南公園","東京都杉並区堀ノ内2-17-32","南","A-66","S52.3.31","","公園","3.3","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.653465733057","35.6881029490753","公園・公衆トイレ"
"82","中通公園","東京都杉並区桃井1-33- 9","北","A-67","S52.3.31","","公園","3.3","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.611335028135","35.7140669452902","公園・公衆トイレ"
"83","おしかわ公園","東京都杉並区荻窪5- 2-13","南","A-68","H6.3.31","","公園","1.65","鉄筋","1","1","1","","","","","","","","","","","","","","","","","139.617830592858","35.7008310559388","公園・公衆トイレ"
"84","松庵東公園","東京都杉並区松庵2-10- 9","北","A-69","S52.3.31","","公園","3.3","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.59593600111","35.6969589053371","公園・公衆トイレ"
"86","上高井戸南公園","東京都杉並区上高井戸1-15- 3","南","A-70","S52.5.30","","公園","3.3","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.612722992561","35.6708720423282","公園・公衆トイレ"
"88","浜田山かなめ公園","東京都杉並区浜田山3-35- 7","南","A-71","S53.2.20","","公園","3.3","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.626279622682","35.6836262441876","公園・公衆トイレ"
"89","阿佐谷にしはら公園","東京都杉並区阿佐谷南1-21-28","北","A-72","S53.4.1","","公園","3.3","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.641947425608","35.6997929403724","公園・公衆トイレ"
"92","大善公園","東京都杉並区宮前2-15- 3","北","A-73","S55.3.31","","公園","5.46","鉄筋","1","1","","1","","","","","","","","","","","","","","","","139.611015845028","35.6928901129563","公園・公衆トイレ"
"93","善福寺一丁目公園","東京都杉並区善福寺1-18- 7","北","A-74","S53.9.1","","公園","3.3","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.597682771297","35.7129107939587","公園・公衆トイレ"
"94","高円寺北二公園","東京都杉並区高円寺北2-16-15","北","A-75","S54.2.1","","公園","3.3","鉄筋","1","1","2","1","","","","","","","","","","","","","","","","139.652880422676","35.7069115239082","公園・公衆トイレ"
"95","和泉がけ公園","東京都杉並区和泉4-18- 5","南","A-76","S56.8.1","","公園","5.46","鉄筋","1","1","","1","","","","","","","","","","","","","","","","139.652518585985","35.6799232735844","公園・公衆トイレ"
"97","成宗公園","東京都杉並区成田東5-15-12","南","A-77","S54.3.31","H29.3.31","公園","5.38","鉄骨","","","","","","","","","","","","","1","1","1","1","","1","","139.628294185119","35.7020911808844","公園・公衆トイレ"
"98","ひまわり公園","東京都杉並区永福1- 7- 6","南","A-78","S61.3.22","","公園","4.41","ﾌﾞﾛｯｸ","1","1","1","1","","","","","","","","","","","","","","","","139.642118779056","35.6693675964914","公園・公衆トイレ"
"101","玉川上水永泉寺緑地","東京都杉並区永福1- 4- 1","南","A-79","S54.9.15","","公園","3.3","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.64317641516","35.6680557206528","公園・公衆トイレ"
"102","和田西公園","東京都杉並区和田3-15-18","南","A-80","S55.3.31","","公園","6","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.655245072686","35.6923465283943","公園・公衆トイレ"
"103","なかよし公園","東京都杉並区宮前5-19- 2","北","A-81","S55.3.31","","公園","5.26","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.601353116014","35.694339862754","公園・公衆トイレ"
"107","方南二丁目公園","東京都杉並区方南2- 6-11","南","A-82","S55.3.31","","公園","5.59","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.65859330944","35.681016729708","公園・公衆トイレ"
